step,text_cos,vision_cos
50,0.9972400665283203,0.9958633780479431
100,0.9942415952682495,0.9902935028076172
150,0.9911138415336609,0.9846959114074707
200,0.9881572127342224,0.9783740043640137
250,0.9856675267219543,0.9725158214569092
300,0.9835469722747803,0.9671708941459656
350,0.9811338186264038,0.9620523452758789
400,0.9793380498886108,0.9572067260742188
450,0.9778346419334412,0.9529120922088623
500,0.9764918684959412,0.9488100409507751
550,0.9755278825759888,0.9452334046363831
600,0.9742833971977234,0.9417269825935364
650,0.973336935043335,0.9387823343276978
700,0.9725856781005859,0.935718297958374
750,0.9715400338172913,0.9328615069389343
800,0.9707865715026855,0.930249810218811
850,0.9697023630142212,0.9276612401008606
900,0.9690525531768799,0.9251715540885925
950,0.9680677056312561,0.9221283793449402
1000,0.9677444696426392,0.9196199178695679
